User, Item, Rating, App, Data, Ease
1000,25,-1,3.609845,3.5002096,3.1750157
1000,48,-1,2.9054444,2.988245,2.9222116
1000,47,-1,3.6799219,3.579478,3.2866032
1000,43,-1,3.6400445,3.5954604,3.1408408
1000,38,-1,3.4629636,3.3368487,3.25018
1000,32,-1,3.9034593,3.7906775,3.621903
1000,40,-1,3.8122308,3.7334285,3.4843168
1000,23,-1,3.2204275,3.063105,3.0640876
1000,30,-1,4.08208,3.9099817,3.5722327
1000,21,-1,3.8704782,3.6684978,3.435049
1000,58,-1,4.0200534,3.8142998,3.751048
1000,33,-1,3.6453934,3.398045,3.50549
1000,34,-1,3.1176903,3.220136,3.127017
1000,51,-1,3.2166634,3.396657,3.166468
1000,52,-1,2.8074286,2.9156613,3.0360236
1000,62,-1,3.5411224,3.5965662,3.2706823
1000,44,-1,2.8742828,2.803698,2.9887047
1000,54,-1,3.6665373,3.4357345,3.4127355
1000,53,-1,2.7556126,2.83142,2.6514957
1000,65,-1,3.9463258,3.759691,3.489081
1000,28,-1,3.3975186,3.289998,3.2177656
1000,22,-1,2.6235456,2.8964748,2.7495966
1000,39,-1,2.9037704,2.7703135,2.5704858
1000,35,-1,3.0929897,3.119971,2.839407
1000,29,-1,2.451031,2.5497353,2.656011
1000,69,-1,4.0589337,3.907033,3.7188506
1000,55,-1,3.4525707,3.408332,3.413713
1000,63,-1,4.012093,4.0146213,3.738365
1000,70,-1,3.7058918,3.677416,3.3921878
1000,24,-1,2.1938293,2.4791052,2.7090378
1000,27,-1,2.7008839,2.80888,2.7637706
1000,37,-1,3.163307,3.2174845,3.1324193
1000,31,-1,3.465533,3.1518245,3.0915058
1000,36,-1,3.0216773,3.018795,2.9507656
1000,42,-1,3.8601074,3.7542317,3.5729744
1000,26,-1,3.6324875,3.428446,3.4161947
1000,57,-1,3.6082752,3.645212,3.5528834
1000,67,-1,3.3435597,3.3322804,3.202375
1000,46,-1,3.7996228,3.4629192,3.3623888
1000,66,-1,3.3512545,3.3360837,3.3573458
1000,68,-1,2.7098863,2.8086905,2.7138016
1000,64,-1,2.7075148,3.0073824,3.2021425
1000,50,-1,3.5711203,3.5545487,3.1012928
1000,59,-1,3.5309076,3.685473,3.4160655
1000,56,-1,3.7538178,3.4739964,3.5075097
1000,61,-1,3.4648998,3.5762389,3.1019983
1001,41,-1,3.957003,3.7427566,3.5722136
1001,49,-1,3.8189206,3.6404989,3.4559612
1001,45,-1,2.751375,2.7310135,2.6069005
1001,43,-1,3.3235147,3.2222927,2.7501433
1001,38,-1,3.366866,3.1624053,3.1134202
1001,32,-1,3.8233044,3.6583054,3.5335355
1001,40,-1,3.6405509,3.5656033,3.294135
1001,23,-1,2.9839208,2.7877765,2.822065
1001,30,-1,4.0284977,3.8191373,3.507746
1001,21,-1,3.7909818,3.5724225,3.2888718
1001,58,-1,3.943868,3.6441743,3.6236494
1001,33,-1,3.306025,3.0743632,3.1897497
1001,34,-1,2.8990211,2.972769,2.9177613
1001,51,-1,2.9616766,3.0767472,2.8227007
1001,52,-1,2.5771108,2.6202629,2.748863
1001,62,-1,3.4615939,3.4216459,3.121299
1001,44,-1,2.7972248,2.6689618,2.878813
1001,54,-1,3.5418682,3.266597,3.2467484
1001,53,-1,2.5832036,2.6261644,2.452849
1001,65,-1,3.8985522,3.6290214,3.3700008
1001,28,-1,3.23231,3.061422,3.0641353
1001,22,-1,2.3748045,2.53077,2.4169688
1001,39,-1,2.8405373,2.6581466,2.4760072
1001,35,-1,2.881019,2.853246,2.6029055
1001,29,-1,2.2956202,2.37164,2.5206757
1001,69,-1,3.9719727,3.827136,3.6059642
1001,55,-1,3.3349864,3.2357152,3.2321966
1001,63,-1,3.8247313,3.7662175,3.5085113
1001,70,-1,3.3802981,3.296354,3.0376081
1001,24,-1,1.9395878,2.1993256,2.4706118
1001,27,-1,2.4811578,2.5331626,2.5206945
1001,37,-1,3.022398,3.0082104,2.9295657
1001,31,-1,3.3345745,2.9137182,2.8666112
1001,36,-1,2.8643515,2.7827516,2.7425818
1001,42,-1,3.7145646,3.5560968,3.4053934
1001,26,-1,3.439672,3.2266016,3.1839876
1001,57,-1,3.5065913,3.5107305,3.3686578
1001,67,-1,3.261105,3.236251,3.090124
1001,46,-1,3.6409557,3.282958,3.17627
1001,66,-1,3.2718222,3.2158828,3.194508
1001,68,-1,2.5629985,2.568582,2.498621
1001,64,-1,2.6078537,2.8260214,3.027791
1001,50,-1,3.44613,3.3701384,2.947829
1001,59,-1,3.2747564,3.4016228,3.1318831
1001,56,-1,3.6263218,3.2793136,3.3467665
1001,61,-1,3.4908934,3.5696647,3.0924885
1002,41,-1,4.3134227,4.135968,3.8650331
1002,49,-1,4.235617,4.1788845,3.8841136
1002,45,-1,3.0170324,3.0913835,2.8700125
1002,25,-1,3.776607,3.624669,3.2798035
1002,48,-1,3.082259,3.1934812,3.0150666
1002,47,-1,3.9206364,3.8252063,3.413281
1002,44,-1,3.0333133,2.9716637,3.07128
1002,54,-1,3.9021113,3.7086043,3.5720444
1002,53,-1,2.960841,3.0898688,2.8360746
1002,65,-1,4.16194,3.9875572,3.6117594
1002,28,-1,3.6161175,3.5955331,3.4741464
1002,22,-1,2.7642615,3.0177383,2.7970183
1002,39,-1,3.1094358,3.014054,2.7064552
1002,35,-1,3.3301473,3.403357,3.019767
1002,29,-1,2.587754,2.7632604,2.738137
1002,69,-1,4.1198883,4.0155196,3.7556477
1002,55,-1,3.6849878,3.665583,3.573061
1002,63,-1,4.1161895,4.1109033,3.7459621
1002,70,-1,3.925052,3.9322202,3.5657256
1002,24,-1,2.4888556,2.8021557,2.9324083
1002,27,-1,2.9101398,3.0701349,2.9281685
1002,37,-1,3.3699217,3.466669,3.2831576
1002,31,-1,3.5748272,3.2876587,3.179665
1002,36,-1,3.2580628,3.2954543,3.1379876
1002,42,-1,4.089263,4.0448575,3.7770977
1002,26,-1,3.958466,3.7794166,3.653922
1002,57,-1,3.8881924,3.9913669,3.7769868
1002,67,-1,3.6155026,3.649099,3.4277303
1002,46,-1,4.0498753,3.7430058,3.549401
1002,66,-1,3.6793578,3.7091043,3.599271
1002,68,-1,2.8185992,2.9145577,2.7394643
1002,64,-1,2.841246,3.1642582,3.2520316
1002,50,-1,3.7505202,3.7263682,3.1939647
1002,59,-1,3.6216114,3.7895432,3.4293747
1002,56,-1,3.9235156,3.663223,3.5976853
1002,61,-1,3.712903,3.8446496,3.2745214
1003,60,-1,3.8407211,3.9581742,3.590533
1003,41,-1,4.27336,4.198383,3.9249887
1003,49,-1,4.1247606,4.139298,3.8151839
1003,45,-1,2.9507906,3.1217442,2.8850508
